,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Sección,Componente,Descripción,Fase,,,,,,,,,,,,,,,,,,,,,
,Portal deportivo,Vista experto - Métricas globales,"El experto en planes avanzados desbloqueados o comprados podrá tener acceso a métricas generales en toda la base de datos. Solo podrá consultar las métricas que suntUS defina como viables para consulta, con el fin que el experto genere campañas, estrategias y modelos de negocio para su servicio ofrecido. Podrá comparar algunos indicadores contra uno o hasta 3 perfiles de otros expertos del giro elegido",2,,,,,,,,,,,,,,,,,,,,,
,Portal deportivo,Vista experto - Baúl de ejercicios,"El experto en esta sección podrá subir fotos y/o videos que expliquen la ejecución de algún ejercicio. Al crear su plan verá como prioridad sus ejercicios creados, en segundo lugar los ejercicios creados por suntUS y por último los creados por otros expertos. Al crear un ejercicio tendrá la libertad si decide compartir su ejecución con otros expertos, o no.",2,,,,,,,,,,,,,,,,,,,,,
,Portal de planes,¿Qué planes tiene suntUS? - Inactivo,"El experto podrá ver los planes emitidos por suntUS que desbloquean características potentes dentro de la aplicación, como el posicionamiento al inicio, métricas, alternativas de comidas y/o ejericicios, ejercicios propios en el baúl, etc. Al suscribirse habrá una vista como forma de pago, ya sea por medio de la pasarela de pago o del fondo que tiene el experto en suntUS",,,,,,,,,,,,,,,,,,,,,,
,Portal de planes,¿Qué planes tiene suntUS? - Activo,"Si el experto ya tiene un plan activo, podrá ver los otros planes y tener la capacidad de cambiarse de plan que iniciará hasta el siguiente ciclo de facturación",,,,,,,,,,,,,,,,,,,,,,
,Portal de facturación,Pagos - Usuario,"El usuario podrá ver los comprobantes de pago que ha hecho en toda la historia con suntUS, así como la posibilidad de pagar el siguiente ciclo de facturación en caso que no tenga activo el pago recurrente. Si el usuario no paga, no podrá pedir un nuevo plan, subir evidencia, comunicarse con el experto, ni ver el detalle de sus planes.",1,,,,,,,,,,,,,,,,,,,,,
,Portal de facturación,Pagos  - Experto,"El experto podrá ver un concentrado de sus finanzas , pagos hechos por sus clientes a traves de suntUS, podrá retirar fondos, cambiar ciclos de facturación, pagar y renovar su alianza",1,,,,,,,,,,,,,,,,,,,,,
,Portal de facturación,Reembolsos,"Tanto usuarios como expertos podrán pedir un reembolso a suntUS, nosotros definiremos las condiciones de reembolso y si aplica el reclamo",1,,,,,,,,,,,,,,,,,,,,,
,Portal de ayuda,Tutoriales,Usuarios y expertos encontraran material de uso de la plataforma,2,,,,,,,,,,,,,,,,,,,,,
,Portal de ayuda,Reporte de errores,"El usuario podrá reportar un error que encuentre dentro de la plataforma, evidenciando el proceso, si no exacto, lo más cercano",2,,,,,,,,,,,,,,,,,,,,,
,Portal de ayuda,Contacto suntUS,El usuario y experto podrá ponerse en contacto con suntUS por lo medios que este describa,2,,,,,,,,,,,,,,,,,,,,,
,Portal de ayuda,Presentación suntUS,Es un enlace que abrirá una nueva pestaña al sitio oficial de suntUS,1,,,,,,,,,,,,,,,,,,,,,
,Portal fitoteca,Entradas de relevancia,"Son las 5 entradas que se agregaron a la fitoteca, podrás buscar algun tema en específico con filtros ya definidos",2,,,,,,,,,,,,,,,,,,,,,
,Portal fitoteca,Mis entradas,"Econtraremos un listados de todos los blogs que el usuario ha escrito, no se pueden eliminar ni editar",2,,,,,,,,,,,,,,,,,,,,,
,Portal fitoteca,Detalle de la entrada,"Contendrá, encabezado, sub encabezado, autor (redigirá al perfil del experto) fecha de publicación, contenido, galería y sección de compartir",2,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
